Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
TCL ADs (APAC),Chile,for the love of you,Romance,[IAB1-5],Movies,externa,compatible,generico,tt2290343,video,Romance,A,coincide,,412800,[326],Movies > Romance Movies,[IAB1-5],2,3,externa,declarado
iion Pty Ltd,Argentina,the 85 south show with karlous miller. dc young fly and chico bean,Talk Show,[IAB1-7],Television,interna,coincide,,,,,,no_comparable,,412480,,,,2,2,interna,declarado
Select Plus PTE LTD (CTV),Argentina,northwest passage,Western,[IAB1-7],Television,externa,coincide,,tt0051299,tvSeries,"Adventure,Drama,Western",B,coincide,,411840,[647],Television > Drama TV,[IAB1-7],2,3,externa,imdb
TCL ADS - Springserve,Dominican Republic,london to brighton,Crime,[IAB1-5],Movies,externa,coincide,,tt0490166,movie,"Crime,Drama,Thriller",B,coincide,,410640,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
Select Plus PTE LTD (CTV),Mexico,life & me,Drama,[IAB1-5],Movies,externa,coincide,,tt29594199,movie,"Comedy,Drama",A,coincide,,408320,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Argentina,being keegan (stephen graham),Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,407680,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Televisa Univision via SpringServe,Mexico,liga mx,Sports,[IAB17],Sports,interna,coincide,,,,,,no_comparable,,405680,[533],Sports > Soccer,[IAB17-44],1,2,interna,
OTTera.tv,Venezuela,bridge,Comedy,[IAB1-5],Movies,externa,compatible,generico,tt1712014,short,"Animation,Comedy,Family",B,coincide,,403360,"[329, 330, 334]",Movies > Animation Movies | Movies > Comedy Movies | Movies > Family and Children Movies,[IAB1-5],2,3,externa,declarado
TCL ADS - Springserve,Argentina,capturados,Drama,[IAB1-22],Arts & Entertainment (tier 2 inexistente),externa,compatible,generico,tt0023872,movie,"Drama,Romance,War",A,coincide,,400160,"[333, 326, 325]",Movies > Drama Movies | Movies > Romance Movies | Movies > Action and Adventure Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Mexico,lost colony,Fantasy,[IAB1-5],Movies,externa,compatible,generico,tt0875696,tvMovie,"Fantasy,Horror,Mystery",B,coincide,,398240,"[335, 336, 331]",Movies > Fantasy Movies | Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,declarado
