Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
iion Pty Ltd,Argentina,amityville: dollhouse,Horror,[-7],,,,,tt0115535,video,Horror,A,coincide,,646720,[336],Movies > Horror Movies,[IAB1],0,2,externa,
OTTera.tv,Colombia,playing cards,Horror,[IAB1],Arts & Entertainment,externa,compatible,generico,tt6669424,movie,Horror,B,coincide,,644480,[336],Movies > Horror Movies,[IAB1-5],1,3,externa,imdb
TCL ADs (APAC),Peru,bella's story_trailer,Drama,[-7],,,,,,,,,no_comparable,,630560,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
Televisa Univision via OB,Mexico,Not Applicable,Comedy,[-7],,,,,,,,,no_comparable,,630000,"[330, 646]",Movies > Comedy Movies | Television > Comedy TV,[IAB1],0,2,interna,
TCL ADS - Springserve,Argentina,good sin,Romance,[-7],,,,,,,,,no_comparable,,623200,[326],Movies > Romance Movies,[IAB1],0,2,interna,
Televisa Univision via SpringServe,Ecuador,cuidado con el angel,Drama,[-7],,,,,tt1245565,tvSeries,"Drama,Romance",B,coincide,,619920,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],0,3,externa,imdb
Select Plus PTE LTD (CTV),Colombia,sospeso,Drama,[-7],,,,,tt14648000,movie,Drama,B,coincide,,617280,[333],Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
Select Plus PTE LTD (CTV),Mexico,where%20cars%20don%e2%80%99t%20dare,Not Applicable,[-7],,,,,,,,,no_comparable,,607040,,,[IAB1],0,0,ninguna,
Select Plus PTE LTD (CTV),Mexico,the%20vessel,Drama,[-7],,,,,tt4083052,movie,Drama,B,coincide,,597600,[333],Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
Select Plus PTE LTD (CTV),Argentina,dead retribution_trailer,Action,[-7],,,,,,,,,no_comparable,,597280,[325],Movies > Action and Adventure Movies,[IAB1],0,2,interna,
Select Plus PTE LTD (CTV),Colombia,john wynn's mirror mirror,Drama,[-7],,,,,tt9480330,movie,"Drama,Thriller",B,coincide,,581600,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
Select Plus PTE LTD (CTV),Argentina,melody,Drama,[-7],,,,,tt25437934,tvSeries,"Comedy,Drama,Musical",B,coincide,,581440,"[646, 647]",Television > Comedy TV | Television > Drama TV,[IAB1-7],0,3,externa,imdb
TCL ADS - Springserve,Mexico,impossible horror,Horror,[-7],,,,,tt7509538,movie,Horror,A,coincide,,580480,[336],Movies > Horror Movies,[IAB1-5],0,3,externa,imdb
