Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
Select Plus PTE LTD (CTV),Chile,e3. is the unmanned plane here?,43840,,,,,,,serie,titulo,is the unmanned plane here?,,3
iion Pty Ltd,Argentina,ted the train season 1,43200,,,,,,,serie,titulo,ted the train,1,
TCL ADs (APAC),Argentina,e8. the colombian brew,42960,,,,,,,serie,titulo,the colombian brew,,8
TCL ADs (APAC),Argentina,beadies songs season 1,42080,,,,,,,serie,titulo,beadies songs,1,
iion Pty Ltd,Chile,super truck season 2,41920,,,,,,,serie,titulo,super truck,2,
iion Pty Ltd,Mexico,sindbad and the seven galaxies season 1,41440,,,,,,,serie,titulo,sindbad and the seven galaxies,1,
OTTera.tv,Ecuador,animacars season 1,41120,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,1,
TCL ADs (APAC),Mexico,policia especial de hamburgo temporada 2,39680,,,,,,,serie,titulo,policia especial de hamburgo,2,
TCL ADS - Springserve,Mexico,domi kids play & learn (english) season 1,39040,,,,,,,serie,titulo,domi kids play & learn (english),1,
TCL ADs (APAC),Ecuador,monster town season 1,38560,tt8561356,tvSeries,Animation,D,,,serie,titulo,monster town,1,
OTTera.tv,Argentina,saari-ep03-a rainy day,37920,tt0080934,movie,"Action,Adventure,Drama",D,,,serie,titulo,saari,,3
OTTera.tv,Colombia,domi kids play & learn (english) season 1,37600,,,,,,,serie,titulo,domi kids play & learn (english),1,
PML Digital,Chile,bonitos cubinhos - pbt season 1,37600,,,,,,,serie,titulo,bonitos cubinhos - pbt,1,
iion Pty Ltd,Chile,future chicken - podcast season 1,37280,,,,,,,serie,titulo,future chicken - podcast,1,
OTTera.tv,Venezuela,shark academy original songs season 1,36480,,,,,,,serie,titulo,shark academy original songs,1,
OTTera.tv,Peru,the wawies season 1,35840,tt35661072,tvSeries,Animation,C,,,serie,titulo,the wawies,1,
TCL ADs (APAC),Mexico,spot the difference: season 7,35360,tt31289009,tvSpecial,Game-Show,D,,,serie,titulo,spot the difference,7,
iion Pty Ltd,Chile,minituns - en season 1,35200,,,,,,,serie,titulo,minituns - en,1,
TCL ADs (APAC),Chile,crea'tim season 1,35200,,,,,,,serie,titulo,crea'tim,1,
