Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
OTTera.tv,Dominican Republic,grudge talk,126000,tt31709881,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge talk,,
iion Pty Ltd,Colombia,chicken stew season 3,125280,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,3,
iion Pty Ltd,Mexico,test my ride,123200,tt2048653,tvSeries,,C,,Not Available,serie,intra_titulo,Test my Ride,,
Televisa Univision via SpringServe,Mexico,como tu no hay 2,121440,tt11679580,tvSeries,"Comedy,Romance",A,telenovela,Not Available,serie,imdb,como tu no hay 2,,
iion Pty Ltd,Mexico,gunnie season,119520,,,,,,Not Available,serie,titulo,gunnie season,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,abrazame muy fuerte,118000,tt0233092,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,abrazame muy fuerte,,
METAX SOFTWARE PTE. LTD.,Argentina,space series,117760,tt26008850,tvSeries,"Documentary,Short",A,,Not Available,serie,imdb,space series,,
TCL ADS - Springserve,Mexico,future chicken - shorts season 1,117120,,,,,,Not Available,serie,titulo,future chicken - shorts,1,
iion Pty Ltd,Mexico,carl the super truck season 1,115840,tt7818360,tvSeries,"Animation,Family",A,,Not Available,serie,titulo,carl the super truck,1,
iion Pty Ltd,Colombia,torrente,115680,tt1320221,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,torrente,,
iion Pty Ltd,Mexico,totopang season 1,115520,tt43730173,tvSeries,Animation,A,,Not Available,serie,titulo,totopang,1,
TCL ADS - Springserve,Argentina,cain (part 1),114720,tt2364258,tvSeries,"Crime,Drama,Mystery",B,,Not Available,serie,imdb,cain,,
OTTera.tv,Argentina,wanted,113600,tt0289016,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,wanted,,
TCL ADS - Springserve,Mexico,ethan the dump truck season 2,107520,tt7826970,tvSeries,"Animation,Family",A,,Not Available,serie,titulo,ethan the dump truck,2,
OTTera.tv,Argentina,naruto shippuden temporada 2,107280,tt0988824,tvSeries,"Action,Adventure,Animation",A,,Not Available,serie,titulo,naruto shippuden,2,
TCL ADS - Springserve,Mexico,e9. lake superior,107200,,,,,,Not Available,serie,titulo,lake superior,,9
Televisa Univision via SpringServe,Mexico,she was pretty,106320,tt5045900,tvSeries,"Comedy,Romance",B,drama,Not Available,serie,imdb,she was pretty,,
TCL ADs (APAC),Mexico,minituns - en season 1,106240,,,,,,Not Available,serie,titulo,minituns - en,1,
Select Plus PTE LTD (CTV),Venezuela,cashpoint,104480,tt5949660,tvSeries,Comedy,B,,Not Available,serie,imdb,cashpoint,,
TCL ADS - Springserve,Mexico,animacars season 1,102880,tt10051414,tvSeries,Animation,C,,Not Available,serie,titulo,animacars,1,
OTTera.tv,Mexico,yoyo season 1,101120,tt0059934,movie,"Comedy,Drama,Family",B,,Not Available,serie,titulo,yoyo,1,
TCL ADS - Springserve,Mexico,chicken%20stew%20season%202,100160,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,imdb,chicken%20stew%20season%202,,
TCL ADs (APAC),Mexico,x-men: evolution season 2,99520,tt0247827,tvSeries,"Action,Adventure,Animation",A,comedia,Not Available,serie,titulo,x-men: evolution,2,
Select Plus PTE LTD (CTV),Mexico,plant center,98880,,,,,,Not Available,serie,intra_titulo,Plant Center,,
TCL ADS - Springserve,Mexico,e5. the ice giants,98720,,,,,,Not Available,serie,titulo,the ice giants,,5
TCL ADs (APAC),Mexico,ebb and flo season 1,98560,tt12767268,tvSeries,"Animation,Family",D,,Not Available,serie,titulo,ebb and flo,1,
Televisa Univision via SpringServe,Mexico,tierra de cantores,98080,tt5333376,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,tierra de cantores,,
iion Pty Ltd,Colombia,amor secreto,96480,tt3215892,tvSeries,"Drama,Romance",B,,Not Available,serie,imdb,amor secreto,,
Aluna Limited,Argentina,rob the ranger: season 1,95760,,,,,,Not Available,serie,titulo,rob the ranger,1,
