Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
OTTera.tv,Colombia,hey! pikmin season 1,48800,,,,,,,serie,titulo,hey! pikmin,1,
iion Pty Ltd,Mexico,invent'tom season 1,48640,,,,,,,serie,titulo,invent'tom,1,
iion Pty Ltd,Chile,plum the super witch season 1,47840,tt21980616,video,"Animation,Short",C,,,serie,titulo,plum the super witch,1,
OTTera.tv,Colombia,sadie season 2,47840,tt0019344,movie,Drama,D,,,serie,titulo,sadie,2,
Select Plus PTE LTD (CTV),Venezuela,badanamu stories season 1,47840,tt14857600,tvSeries,Animation,C,,,serie,titulo,badanamu stories,1,
TCL ADs (APAC),Chile,thrillbillies,47520,tt1500999,tvSeries,Sport,B,,VOD,serie,imdb,thrillbillies,,
Select Plus PTE LTD (CTV),Dominican Republic,howzzattt- cricket miracles season 1,47520,,,,,,,serie,titulo,howzzattt- cricket miracles,1,
iion Pty Ltd,Chile,forest frenzy of boonie bears season 4,46880,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Peru,forest frenzy of boonie bears season 2,46880,,,,,,,serie,titulo,forest frenzy of boonie bears,2,
OTTera.tv,Colombia,plum the super witch season 1,43840,tt21980616,video,"Animation,Short",C,,,serie,titulo,plum the super witch,1,
iion Pty Ltd,Chile,detective pikachu returns season 1,43840,,,,,,,serie,titulo,detective pikachu returns,1,
Select Plus PTE LTD (CTV),Peru,andor: season 2 - official 'win' teaser trailer,43680,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
TCL ADs (APAC),Ecuador,shadow match: season 14,42480,,,,,,,serie,titulo,shadow match,14,
TCL ADs (APAC),Argentina,domi kids (english) season 1,42400,,,,,,,serie,titulo,domi kids (english),1,
Select Plus PTE LTD (CTV),Peru,purple devil season 1,40640,,,,,,,serie,titulo,purple devil,1,
TCL ADs (APAC),Argentina,the legend of zelda: tears of the kingdom season 1,39120,,,,,,,serie,titulo,the legend of zelda: tears of the kingdom,1,
TCL ADs (APAC),Chile,barry's animal hospital season 1,38880,,,,,,,serie,titulo,barry's animal hospital,1,
OTTera.tv,Mexico,future chicken - podcast season 1,38400,,,,,,,serie,titulo,future chicken - podcast,1,
OTTera.tv,Venezuela,beadies lullabies season 1,37440,,,,,,,serie,titulo,beadies lullabies,1,
OTTera.tv,Peru,beadies lullabies season 1,36480,,,,,,,serie,titulo,beadies lullabies,1,
OTTera.tv,Ecuador,find the hidden object: season 16,35520,,,,,,,serie,titulo,find the hidden object,16,
OTTera.tv,Mexico,mondoyan season 1,35360,,,,,,,serie,titulo,mondoyan,1,
PML Digital,Argentina,los cuentos de lupin (temporada 1),35040,tt13822590,tvMiniSeries,Animation,C,,,serie,titulo,los cuentos de lupin,1,
iion Pty Ltd,Peru,om nom  season 1,34560,tt4643420,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,om nom,1,
TCL ADS - Springserve,Panama,chai chai season 1,34560,tt6443382,tvSeries,Animation,C,,,serie,titulo,chai chai,1,
