Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
TCL ADs (APAC),Mexico,um anjo na terra,183040,tt0086730,tvSeries,"Drama,Fantasy",B,,Not Available,serie,imdb,um anjo na terra,,
Select Plus PTE LTD (CTV),Uruguay,grudge race,180800,tt6291472,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge race,,
OTTera.tv,Dominican Republic,just us,177600,tt0305713,tvSeries,Family,B,,Not Available,serie,imdb,just us,,
iion Pty Ltd,Argentina,chicken stew season 7,177440,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,7,
iion Pty Ltd,Peru,real stories with christ - season three,175680,,,,,,Not Available,serie,titulo,real stories with christ,,
iion Pty Ltd,Argentina,out on a limb,175360,tt0093688,tvMiniSeries,"Biography,Drama,Romance",B,,Not Available,serie,imdb,out on a limb,,
TCL ADs (APAC),Mexico,increditales season 2,174560,tt28074621,tvSeries,,C,,Not Available,serie,titulo,increditales,2,
OTTera.tv,Argentina,spectrum,173520,tt5894998,tvSeries,Horror,B,,Not Available,serie,imdb,spectrum,,
OTTera.tv,Mexico,just for laughs gags,172320,tt2486436,tvSeries,"Action,Comedy,Reality-TV",B,,Not Available,serie,imdb,just for laughs gags,,
TCL ADS - Springserve,Dominican Republic,amor secreto,172080,tt3215892,tvSeries,"Drama,Romance",B,,Not Available,serie,imdb,amor secreto,,
Select Plus PTE LTD (CTV),Peru,locked in hellsend,170560,,,,,,Not Available,serie,intra_titulo,Locked in Hellsend,,
iion Pty Ltd,Colombia,future chicken - today show season 2,168160,,,,,,Not Available,serie,titulo,future chicken - today show,2,
TCL ADS - Springserve,Costa Rica,wanted,165760,tt0289016,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,wanted,,
METAX SOFTWARE PTE. LTD. (Exchange),Chile,gatchaman crowds,162720,tt2959370,tvSeries,"Action,Adventure,Animation",A,,Not Available,serie,imdb,gatchaman crowds,,
OTTera.tv,Argentina,dark chronicles,161040,tt11085314,tvMiniSeries,Horror,B,,Not Available,serie,imdb,dark chronicles,,
Vidaa,Mexico,destined to love you,160480,tt5870910,tvSeries,"Action,Comedy,Romance",A,drama,Not Available,serie,imdb,destined to love you,,
iion Pty Ltd,Colombia,the baddest bad boy,158640,tt13840630,tvMiniSeries,Comedy,A,,Not Available,serie,imdb,the baddest bad boy,,
iion Pty Ltd,Mexico,out%20on%20a%20limb,157920,tt0093688,tvMiniSeries,"Biography,Drama,Romance",B,,Not Available,serie,imdb,out%20on%20a%20limb,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,como dice el dicho,157920,tt1831897,tvSeries,"Comedy,Drama",A,telenovela,Not Available,serie,imdb,como dice el dicho,,
TCL ADS - Springserve,Mexico,cain (part 3),155680,tt2364258,tvSeries,"Crime,Drama,Mystery",B,,Not Available,serie,imdb,cain,,
TCL ADS - Springserve,Argentina,ríos color púrpura temporada 1,155200,,,,,,Not Available,serie,titulo,ríos color púrpura,1,
METAX SOFTWARE PTE. LTD.,Ecuador,france 24,152640,tt7712780,tvSeries,News,A,,Not Available,serie,imdb,france 24,,
Select Plus PTE LTD (CTV),Costa Rica,andor: season 2 - official 'win' teaser trailer,152160,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,Not Available,serie,titulo,andor,2,
TCL ADs (APAC),Argentina,container masters,152000,tt10257240,tvSeries,Reality-TV,A,,Not Available,serie,imdb,container masters,,
Vidaa  APAC Hisense Headquarter,Peru,mi corazon es tuyo,151520,tt3825904,tvSeries,"Comedy,Romance",A,telenovela,Not Available,serie,imdb,mi corazon es tuyo,,
OTTera.tv,Argentina,forest frenzy of boonie bears season 4,151360,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,4,
TCL ADs (APAC),Chile,chicken stew season 2,149760,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,2,
OTTera.tv,Colombia,forest frenzy of boonie bears season 3,149440,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,3,
OTTera.tv,Venezuela,bbc news,144320,tt0240256,tvSeries,News,B,,VOD,serie,imdb,bbc news,,
iion Pty Ltd,Argentina,northwest passage: trailer,143520,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
Select Plus PTE LTD (CTV),Panama,overwatch 2 - official season 16: stadium trailer,143360,,,,,,Not Available,serie,titulo,overwatch 2 - official,16,
TCL ADS - Springserve,Mexico,spy penguin season 1,143360,tt11328836,tvMiniSeries,Animation,C,,VOD,serie,titulo,spy penguin,1,
TCL ADS - Springserve,Mexico,starhyke,143200,tt1520150,tvSeries,"Comedy,Sci-Fi",A,,Not Available,serie,imdb,starhyke,,
Televisa Univision via SpringServe,Argentina,la historia de juana,143040,tt31511583,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,la historia de juana,,
PML Digital,Chile,e2. sandy mountains of brazil,142720,,,,,,Not Available,serie,titulo,sandy mountains of brazil,,2
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,miss xv,142320,tt2356450,tvSeries,"Comedy,Drama,Musical",A,telenovela,Not Available,serie,imdb,miss xv,,
iion Pty Ltd,Colombia,chicken stew season 1,139840,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,1,
Select Plus PTE LTD (CTV),Mexico,elina and the enchanted forest season 1,138560,,,,,,Not Available,serie,titulo,elina and the enchanted forest,1,
iion Pty Ltd,Mexico,continuum,137920,tt1954347,tvSeries,"Action,Sci-Fi,Thriller",B,drama,Not Available,serie,imdb,continuum,,
OTTera.tv,Dominican Republic,grandes parejas,136640,,,,,,Not Available,serie,intra_titulo,Curro Jiménez,,
TCL ADS - Springserve,Chile,duck camp dinners season 1,135520,tt35146256,tvSeries,Reality-TV,A,,Not Available,serie,titulo,duck camp dinners,1,
