Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
iion Pty Ltd,Mexico,impossible horror,Horror,[IAB1-5],Movies,externa,coincide,,tt7509538,movie,Horror,A,coincide,,715840,[336],Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,strangers of patience: trailer,Thriller,[IAB1-5],Movies,externa,coincide,,tt9715742,movie,Thriller,A,coincide,,715360,[331],Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,the expedition tapes_trailer,Documentary,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,708800,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],1,2,interna,
Select Plus PTE LTD (CTV),Mexico,two,Not Applicable,[IAB1-5],Movies,externa,compatible,generico,tt4795674,short,"Drama,Family,Romance",B,sin_genero_declarado,,705280,"[333, 334, 326]",Movies > Drama Movies | Movies > Family and Children Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,declarado
OTTera.tv,Ecuador,this%20train,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt27716903,movie,Drama,B,coincide,,704960,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
OTTera.tv,Costa Rica,naked lies,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt0139487,movie,"Action,Crime,Drama",B,coincide,,704000,"[325, 331, 333]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
OTTera.tv,Mexico,7%20nights%20of%20darkness,Not Applicable,[IAB1],Arts & Entertainment,externa,compatible,generico,tt2072029,movie,"Horror,Mystery",A,sin_genero_declarado,,701920,"[336, 331]",Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
TCL ADS - Springserve,Chile,el laberinto inmortal,Fantasy,[IAB1-5],Movies,externa,coincide,,tt29278439,movie,"Action,Fantasy",A,coincide,,700320,"[325, 335]",Movies > Action and Adventure Movies | Movies > Fantasy Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Colombia,the buddy cop,Action,[IAB1-5],Movies,externa,coincide,,tt20412912,movie,Comedy,A,no_coincide,,697760,[330],Movies > Comedy Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Argentina,26 seconds,Documentary,[IAB1-5],Movies,externa,compatible,generico,tt6669858,short,"Documentary,Short",B,coincide,,681280,[332],Movies > Documentary Movies,[IAB1-5],2,3,externa,declarado
Select Plus PTE LTD (CTV),Argentina,old 37,Horror,[IAB1-5],Movies,externa,coincide,,tt1600429,movie,"Drama,Horror",B,coincide,,676640,"[333, 336]",Movies > Drama Movies | Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
TCL ADS - Springserve,Dominican Republic,howling village,Horror,[IAB1-5],Movies,externa,coincide,,tt10919074,movie,"Horror,Mystery,Thriller",A,coincide,,675840,"[336, 331]",Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
