Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_detalle,ser_es,serie_propuesta
Scripps - FreeWheel,Puerto Rico,sixty+days,57280,tt1003057,movie,Drama,B,,Chicago Fire,IMDb movie Sixty Days (tt1003057),pelicula,
LG Ads EMEA - SS,Mexico,las recién casadas,57200,tt0277268,movie,Drama,A,,Chicos del Barrio,IMDb movie Las recién casadas (tt0277268),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,infidelidad,57200,tt0250797,movie,"Drama,Romance,Thriller",B,,El Talismán,IMDb movie Unfaithful (tt0250797),pelicula,
FUNKE Digital GmbH | Publica,Mexico,una larga ausencia,56880,tt0054426,movie,"Drama,Mystery",A,,Curro Jiménez,IMDb movie The Long Absence (tt0054426),pelicula,
FUNKE Digital GmbH | Publica,Mexico,los rehenes,56160,tt0309686,movie,"Adventure,Family",A,,Curro Jiménez,IMDb movie The Hostages (tt0309686),pelicula,
Ströer SSP GmbH (open RTB),Peru,lisbon beat,56160,tt10681296,movie,"Documentary,Music",A,,QWEST,IMDb movie Lisbon Beat (tt10681296),pelicula,
Scripps - FreeWheel,Puerto Rico,under+siege+2+dark+territory,56080,tt0114781,movie,"Action,Adventure,Thriller",A,,Under Siege 2 Dark Territory,IMDb movie Under Siege 2: Dark Territory (tt0114781),pelicula,
Scripps - FreeWheel,Puerto Rico,lines,56000,tt9603216,movie,Drama,B,,Chicago PD,IMDb movie Lines (tt9603216),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,amor y acción en chicago,55840,tt0176948,movie,"Action,Comedy,Drama",A,,Go Ahead,IMDb movie Love and Action in Chicago (tt0176948),pelicula,
LG Ads EMEA - SS,Mexico,los campeones justicieros,55680,tt0261597,movie,"Action,Adventure,Crime",A,,burden of truth,IMDb movie The Champions of Justice (tt0261597),pelicula,
Scripps - FreeWheel,Puerto Rico,change+of+plans,55200,tt1193088,movie,"Comedy,Drama",B,,Chicago Fire,IMDb movie Le code a changé (tt1193088),pelicula,
Media.Net,Puerto Rico,clean+slate,55040,tt0082206,movie,"Comedy,Crime,Drama",B,,FBI,IMDb movie Coup de torchon (tt0082206),pelicula,
LG Ads EMEA - SS,Mexico,6 balas,54960,tt1975249,movie,"Action,Crime,Drama",A,,The Good Doctor,IMDb movie 6 Bullets (tt1975249),pelicula,
Scripps - FreeWheel,Puerto Rico,the+tie+that+binds,54720,tt0114666,movie,"Crime,Drama,Thriller",B,,NCIS,IMDb movie The Tie That Binds (tt0114666),pelicula,
Connekt Media (oRTB CTV),Mexico,pesadilla en el hotel normandie,54400,tt8102806,movie,"Horror,Mystery,Thriller",A,,Callejero Novato,IMDb movie The Night (tt8102806),pelicula,
Scripps - FreeWheel,Puerto Rico,the+searchers,54240,tt0108275,movie,"Action,Crime,Drama",B,,NCIS,IMDb movie The Searchers (tt0108275),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,alien: el secuestro,54240,tt0426396,movie,"Horror,Sci-Fi,Thriller",A,,Alto! Señorita Hua,IMDb movie Alien Abduction (tt0426396),pelicula,
Scripps - FreeWheel,Puerto Rico,justice+denied,54240,tt0097634,movie,"Biography,Crime,Drama",B,,Law and Order SVU,IMDb movie Justice Denied (tt0097634),pelicula,
OTTera.tv,Mexico,las reglas de la mafia,53920,tt1416801,movie,"Action,Biography,Crime",A,drama,Secret Life Of The Kangaroo,IMDb movie Kill the Irishman (tt1416801),pelicula,
LG Ads EMEA - SS,Mexico,la próxima generación,53760,tt2693664,movie,"Action,Drama,Romance",A,sci-fi,The Good Doctor,IMDb movie Young Ones (tt2693664),pelicula,
Kidoodle OpenWrap OTT,Mexico,insert coin,53360,tt11916218,movie,Documentary,B,,Pocoyo,IMDb movie Insert Coin (tt11916218),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,apartamento 12,53120,tt0156741,movie,"Comedy,Romance",A,,The Good Doctor,IMDb movie Apartment 12 (tt0156741),pelicula,
Scripps - FreeWheel,Puerto Rico,witness+for+the+prosecution,52960,tt0051201,movie,"Crime,Drama,Mystery",B,,The Listener,IMDb movie Witness for the Prosecution (tt0051201),pelicula,
LG Ads EMEA - SS,Mexico,buy me,52800,tt6964554,movie,Drama,B,crimen-misterio,El Cazador,IMDb movie Buy Me (tt6964554),pelicula,
LG Ads EMEA - SS,Mexico,s.o.s mujeres al mar 2,52640,tt4358196,movie,Comedy,A,,The Good Doctor,IMDb movie S.O.S. Women to the Sea 2 (tt4358196),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,demonic,52560,tt1841642,movie,"Horror,Mystery,Thriller",B,,DEMONIC (ES),IMDb movie Demonic (tt1841642),pelicula,
LG Ads EMEA - SS,Mexico,romance sobre ruedas,52240,tt0323830,movie,"Comedy,Drama",A,,Chicos del Barrio,IMDb movie Romance sobre ruedas (tt0323830),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,king arthur and the knights of the round table,52160,tt6735670,movie,"Action,Adventure,Crime",A,,Alto! Señorita Hua,IMDb movie King Arthur and the Knights of the Round Table (tt6735670),pelicula,
FreeTV via Springserve,Mexico,matadero,51840,tt0356870,movie,"Action,Crime,Drama",B,,Hell on Wheels,IMDb movie Matadero (tt0356870),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,cuates de australia,51680,tt2097844,movie,Documentary,A,,Homes Under The Hammer,IMDb movie Drought (tt2097844),pelicula,
"Seedtag Advertising, S.L. (ORTB)",Puerto Rico,sacred+ground,51680,tt0086227,movie,"Drama,Western",B,,Chicago Fire,IMDb movie Sacred Ground (tt0086227),pelicula,
TCL ADS - Springserve,Argentina,sanctuary,51600,tt4664244,movie,"Comedy,Drama,Romance",B,documental,seriesId_SANCTUARY,IMDb movie Sanctuary (tt4664244),pelicula,
LG Ads EMEA - SS,Colombia,mala madre,51120,tt10988722,movie,Drama,A,,Gata Salvaje,IMDb movie Mala Madre (tt10988722),pelicula,
LG Ads EMEA - SS,Mexico,chanoc,50880,tt0282411,movie,"Action,Adventure,Drama",A,,Chicos del Barrio,IMDb movie Chanoc (tt0282411),pelicula,
Scripps - FreeWheel,Puerto Rico,alien+vs+predator,50800,tt0370263,movie,"Action,Adventure,Horror",A,"crimen-misterio,sci-fi",Alien vs Predator,IMDb movie Alien vs. Predator (tt0370263),pelicula,
LG Ads EMEA - SS,Mexico,coqueta,50480,tt0019788,movie,"Drama,Romance",B,,Chicos del Barrio,IMDb movie Coquette (tt0019788),pelicula,
"Seedtag Advertising, S.L. (ORTB)",Puerto Rico,fallen+heroes,50400,tt1094267,movie,"Crime,Drama",B,,Blue Bloods,IMDb movie Fallen Heroes (tt1094267),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,filosofía natural del amor,50240,tt2972122,movie,"Drama,Romance,Thriller",A,,Dark Matter,IMDb movie Filosofía Natural del Amor (tt2972122),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,fast and fierce: death race,50080,tt11765324,movie,Action,A,,City Confidential,IMDb movie Fast and Fierce: Death Race (tt11765324),pelicula,
LG Ads EMEA - SS,Colombia,fiesta de cumpleaños,50080,tt0062732,movie,"Drama,Mystery,Thriller",A,,Acorralada,IMDb movie The Birthday Party (tt0062732),pelicula,
"NEW ID Co., Ltd.",Mexico,jackie brown: triple traición,49920,tt0119396,movie,"Crime,Drama,Thriller",A,,Jackie Brown: Triple Traición,IMDb movie Jackie Brown (tt0119396),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,apocalypse pompeii,49920,tt3384904,movie,"Action,Adventure,Drama",A,,City Confidential,IMDb movie Apocalypse Pompeii (tt3384904),pelicula,
Playworks (SpringServe),Mexico,strike,49600,tt0116778,movie,"Comedy,Sport",B,,strike,IMDb movie Kingpin (tt0116778),pelicula,
Scripps - FreeWheel,Puerto Rico,out+of+control,49440,tt2101570,movie,"Action,Crime,Thriller",B,,NCIS,IMDb movie In the Blood (tt2101570),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,gente de bien,49440,tt1361318,movie,"Action,Adventure,Crime",B,drama,Haven,IMDb movie Good People (tt1361318),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,doble traición,49280,tt0184858,movie,"Action,Crime,Thriller",B,drama,El Talismán,IMDb movie Reindeer Games (tt0184858),pelicula,
Scripps - FreeWheel,Puerto Rico,where+we+stand,49280,tt35338017,movie,Drama,B,,Blue Bloods,IMDb movie Where We Stand (tt35338017),pelicula,
