Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Vidaa,Mexico,la rosa de guadalupe,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1192302,tvSeries,Drama,A,coincide,,63250400,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,corazon indomable,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0108451,movie,"Drama,Romance",B,coincide,,49464080,"[333, 326, 330]",Movies > Drama Movies | Movies > Romance Movies | Movies > Comedy Movies,[IAB1-5],1,3,externa,imdb
Vidaa,Mexico,fuego en la sangre,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0117005,video,Drama,B,coincide,,45955600,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,externa,
Vidaa,Mexico,porque el amor manda,Comedy,[IAB12],News,externa,contradice,vertical:noticias,tt2401754,tvSeries,"Comedy,Drama",A,coincide,,44405920,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,destilando amor,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0940629,tvSeries,Drama,A,coincide,,43177520,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,soy tu duena,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1630269,tvSeries,"Drama,Romance",B,coincide,,43117200,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,la vecina,Comedy,[IAB12],News,externa,contradice,vertical:noticias,tt4696338,tvSeries,"Comedy,Drama,Romance",A,coincide,,38276880,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,la que no podia amar,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt2012381,tvSeries,"Drama,Romance",A,coincide,,37680400,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,rebelde hd,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,35323520,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,amor real,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0341281,tvSeries,"Drama,Romance",B,coincide,,34882080,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,la familia p luche,Comedy,[IAB12],News,externa,contradice,vertical:noticias,tt1244672,tvSeries,Comedy,A,coincide,,30958800,[646],Television > Comedy TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,abismo de pasion,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0034946,movie,Drama,B,coincide,,30115840,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
