Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
TCL ADS - Springserve,Mexico,transference,"sci-fi,thriller,action,mystery",[IAB1-5],Movies,externa,coincide,,tt7159566,movie,"Action,Mystery,Sci-Fi",B,coincide,,578720,"[325, 331, 327]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies | Movies > Science Fiction Movies,[IAB1-5],2,3,externa,imdb
"Coocaa, a SKYWORTH company",Colombia,teste quatro rodas - lexus rz 500e,Not Applicable,[IAB2],Automotive,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,578240,[640],Television,[IAB1-7],1,2,serie,contentSeries
Vidaa  APAC Hisense Headquarter,Argentina,lo que la vida me robo,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt3223004,tvSeries,"Drama,Romance",A,coincide,,573360,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
OTTera.tv,Mexico,7%20years,Horror,[IAB1],Arts & Entertainment,externa,compatible,generico,tt5517438,movie,Drama,B,no_coincide,,570880,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
OTTera.tv,Mexico,the bigfoot diaries,Horror,[IAB1],Arts & Entertainment,externa,compatible,generico,tt1478440,movie,"Comedy,Documentary",A,no_coincide,,569280,"[330, 332]",Movies > Comedy Movies | Movies > Documentary Movies,[IAB1-5],1,3,externa,imdb
"Coocaa, a SKYWORTH company",Mexico,every dale earnhardt win,"sports,motorsports,nascarcupseries,nascar,carracing,ovaltrackracing",[IAB17-1],Auto Racing,interna,coincide,,,,,,no_comparable,,562240,,,,2,2,interna,
"Coocaa, a SKYWORTH company",Mexico,glam golf with blair o'neal,golf,[IAB17-2],Baseball,externa,contradice,sub:Baseball!=Golf,tt37180222,tvSeries,Sport,A,sin_genero_declarado,,555040,[512],Sports > Golf,[IAB17-15],2,2,externa,imdb
Select Plus PTE LTD (CTV),Peru,grjngo - películas del oeste,Movies,[IAB1-5],Movies,interna,coincide,,,,,,no_comparable,,554720,,,,2,2,ninguna,declarado
OTTera.tv,Mexico,the crossroads of hunter wilde,"action,drama",[IAB1],Arts & Entertainment,externa,compatible,generico,tt6856396,movie,"Action,Fantasy,Thriller",A,coincide,,540320,"[325, 335, 331]",Movies > Action and Adventure Movies | Movies > Fantasy Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
OTTera.tv,Mexico,kicking off: trailer,"crime,comedy",[IAB1],Arts & Entertainment,externa,compatible,generico,tt3703750,movie,"Comedy,Crime,Sport",B,coincide,,540160,"[330, 331]",Movies > Comedy Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
Select Plus PTE LTD (CTV),Mexico,15%2flove_1,Not Applicable,,,,,,,,,,no_comparable,,539360,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Mexico,naked lies,Drama,[IAB1-5],Movies,externa,coincide,,tt0139487,movie,"Action,Crime,Drama",B,coincide,,538400,"[325, 331, 333]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
Zeasn Europe B.V.,Argentina,Not Applicable,Not Applicable,,,,,,,,,,no_comparable,,533120,,,[IAB1],0,0,ninguna,
Select Plus PTE LTD (CTV),Colombia,disaster dates 2,Comedy,[IAB1-5],Movies,externa,coincide,,tt27162064,movie,"Comedy,Thriller",A,coincide,,528000,"[330, 331]",Movies > Comedy Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,4acetv classic hits,Entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,526400,,,,1,1,ninguna,
iion Pty Ltd,Mexico,judas,Drama,[IAB1-7],Television,externa,coincide,,tt9537450,tvSeries,"Biography,Crime,Drama",B,coincide,,524000,"[648, 647]",Television > Factual TV | Television > Drama TV,[IAB1-7],2,3,externa,imdb
Select Plus PTE LTD (CTV),Colombia,band of rebels,Action,[IAB1],Arts & Entertainment,interna,compatible,generico,tt19063544,movie,"Drama,Western",C,no_comparable,,522400,[325],Movies > Action and Adventure Movies,[IAB1],1,2,interna,
Televisa Univision via SpringServe,Mexico,Not Applicable,action,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,516720,[325],Movies > Action and Adventure Movies,[IAB1],1,2,interna,
iion Pty Ltd,Chile,"no autumn no spring
(sin otoño. sin primavera)_trailer",Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,516160,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
OTTera.tv,Peru,cemetery stories,Horror,[IAB1],Arts & Entertainment,externa,compatible,generico,tt7319464,movie,Horror,A,coincide,,513600,[336],Movies > Horror Movies,[IAB1-5],1,3,externa,imdb
Select Plus PTE LTD (CTV),Colombia,continuum,Sci-Fi,[IAB1-7],Television,externa,coincide,,tt1954347,tvSeries,"Action,Sci-Fi,Thriller",B,coincide,,512160,"[652, 647]",Television > Science Fiction TV | Television > Drama TV,[IAB1-7],2,3,externa,imdb
iion Pty Ltd,Mexico,life & me,"drama,comedy,drama,comedy,documentary,music",[IAB1-6],Music,externa,coincide,,tt29594199,movie,"Comedy,Drama",A,coincide,vertical,510720,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
Select Plus PTE LTD (CTV),Colombia,maggies passage,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,510080,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
TCL ADS - Springserve,Mexico,shadow of vengeance,Action,[IAB1],Arts & Entertainment,interna,compatible,generico,tt22794158,movie,,C,no_comparable,,508960,[325],Movies > Action and Adventure Movies,[IAB1],1,2,interna,
iion Pty Ltd,Colombia,son of dracula,Horror,[IAB1-5],Movies,externa,coincide,,tt0036376,movie,"Drama,Fantasy,Horror",B,coincide,,508160,"[333, 335, 336]",Movies > Drama Movies | Movies > Fantasy Movies | Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Peru,carried away: trailer,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt0115837,movie,"Drama,Romance",B,coincide,,503840,"[333, 326]",Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],1,3,externa,imdb
